on	zapnout
Yellow Gradient	Žlutý přechod
lime	žlutozelená
Yellow green	Žlutozelená
Yellow Green	Žlutozelená
Yellow Star	Žlutá hvězda
Color Yellow	Žlutá barva
yellow	žlutá
Yellow	Žlutá
Yellow	Žlutá
Life	Životnost
Environment	Životní prostředí
Live Data Streams	Živé datové proudy
Female	Žena
Flash Bulb	Žárovka
Genre	Žánr
Venetian Blinds Horizontal	Žaluzie vodorovně
Venetian Blinds Vertical	Žaluzie svisle
Venetian Blinds	Žaluzie
No Sound	Žádný zvuk
No Character Style	Žádný znakový styl
No SANE source is available at the moment.	Žádný zdroj SANE není momentálně dostupný.
No primary key	Žádný primární klíč
No Effect	Žádný efekt
No Documents	Žádný dokument
None (Do not check spelling)	Žádný (bez kontroly pravopisu)
none	žádný
None	Žádný
None	Žádný
No pages	Žádné stránky
No Solution	Žádné řešení
No operations to execute	Žádné operace k provedení
No errors.	Žádné chyby.
No values were modified.	Žádné hodnoty nebyly změněny.
none	žádné
None	Žádné
None	Žádné
No topics found.	Žádná témata nebyla nenalezena.
No transparency	Žádná průhlednost
No Entry	Žádná položka
No grid	Žádná mřížka
No action	Žádná akce
No action	Žádná akce
None	Žádná
None	Žádná
RequirDate	ŽádDatum
RequiredByDate	ŽádánoDoData
Raise/lower by	Zvýšit/snížit o
Incr./decrement value	Zvýšit/snížit hodnotu
Value highlighting	Zvýrazňování hodnot
Value Highlighting	Zvýrazňování hodnot
Highlight selection in column/row headers	Zvýraznit výběr v záhlaví sloupců a řádků
Highlight Fill	Zvýraznit písma
Style Emphasis	Zvýraznění stylu
SQL Syntax Highlighting	Zvýraznění SQL syntaxe
SGML syntax highlighting	Zvýraznění SGML syntaxe
Spell check highlighting	Zvýraznění kontroly překlepů
Grammar check highlighting	Zvýraznění kontroly gramatiky
Comment highlighting	Zvýraznění komentářů
Keyword highlighting	Zvýraznění klíčových slov
Basic Syntax Highlighting	Zvýraznění Basic syntaxe
Highlighting	Zvýraznění
Sounds	Zvuky
Audio file	Zvukový soubor
Sound...	Zvuk...
Sound:	Zvuk:
Sound:	Zvuk:
Sound	Zvuk
Sound	Zvuk
Choose the type of stepping:	Zvolte typ stupňů:
Choose a chart type	Zvolte typ grafu
Select a document type	Zvolte typ dokumentu
Please select a type of address book.	Zvolte typ adresáře.
Choose an icon set:	Zvolte sadu ikon:
Select Chart Element	Zvolte prvek grafu
Choose Item: 	Zvolte položku: 
Choose a background image: 	Zvolte obrázek pozadí:
Choose a data range	Zvolte oblast dat
Choose settings for replacing OLE objects	Zvolte nastavení pro náhradu OLE objektů
Select one of the options below:	Zvolte jednu z možností níže:
Select the language to use for import	Zvolte jazyk pro import
Select a color using the color dialog	Zvolte barvu pomocí dialogu
Please select the driver directory.	Zvolte adresář s ovladačem.
Choose ...	Zvolit...
Choose layout	Zvolit rozvržení
Select Tool	Zvolit nástroj
The selected module could not be loaded.	Zvolený modul nelze načíst.
FTP target '%FILENAME' is a file.	Zvolený FTP cíl je '%FILENAME' je soubor.
The local target '%FILENAME' is a file.	Zvolený cíl '%FILENAME' je soubor.
Special Styles	Zvláštní styly
Animals	Zvířata
Scale all brackets	Zvětšovat všechny závorky
Increase Spacing	Zvětšit rozestupy
Increase Font	Zvětšit písmo
Increase Indent	Zvětšit odsazení
Increment Indent Value	Zvětšit odsazení
Grow and Shrink	Zvětšit a zmenšit
Grow With Color	Zvětšit a přebarvit
Magnify	Zvětšit
Zoom In	Zvětšit
Zoom In	Zvětšit
Scaled	Zvětšeno
Grow/Shrink size of notes font	Zvětšení/Zmenšení velikosti písma poznámek
Zoom	Zvětšení
Zoom	Zvětšení
Enlargement	Zvětšení
Magnification	Zvětšení
Publishing product features	Zveřejňování součástí produktu
Publishing qualified components	Zveřejňování odpovídajících komponent
Publishing product information	Zveřejňování informací o produktu
Publishing to a ZIP archive...	Zveřejnění v souboru ZIP...
Publishing to FTP destination...	Zveřejnění na FTP...
Publishing to local directory...	Zveřejnění do lokálního adresáře...
Rise Up	Zvednout se
Condensed	Zúžené
Condensed 	Zúžené
Salvage	Zůstatek
Zulu	Zulština
Zulu hyphenation rules	Zulská pravidla dělení slov
Bold Reveal	Ztučnění
Aging	Ztmavnutí
Dim with color	Ztmavit barvou
Darken	Ztmavit
Blacks/Unblacks the screen	Ztmavení/Obnovení obrazovky
Mute	Ztlumit
ZTEST	ZTEST
Deselect All Sheets	Zrušit výběr všech listů
Deselect All Sheets	Zrušit výběr všech listů
Cancel Connection	Zrušit spojení
Ungroup...	Zrušit skupinu...
Ungroup drawing objects	Zrušit skupinu objektů kresby
Ungroup %1	Zrušit skupinu %1
Ungroup	Zrušit skupinu
Ungroup Metafile(s)...	Zrušit seskupení meta souborů...
Ungroup	Zrušit seskupení
Remove sorting	Zrušit řazení
