am,on
an,on
nil,'
! 2,!2
? 2,?2
Bis,To
Ein,On
ein,on
IST,IS
N 2,N2
Nr.,ID
O 2,E2
S 2,S2
von,of
von,by
von,of
Von,By
von,of
W 2,W2
---,---
...,...
...,...
[1],[1]
[E],[T]
[L],[L]
[N],[M]
[S],[S]
&OK,&OK
<<=,<<=
1.2,1.2
1/2,1/2
1/3,1/3
1/4,1/4
1/8,1/8
2/3,2/3
3/4,3/4
3/8,3/8
5/8,5/8
7/8,7/8
ABC,abc
ABS,ABS
ADO,ADO
An:,To:
ASC,ASC
Aus,Off
Aus,Out
Aus,Off
aus,off
Aus,Off
aus,off
Bus,bus
COS,COS
cos,cos
COT,COT
CTL,CTL
DDE,DDE
DIA,SYD
DIF,DIF
DNA,DNA
DPI,DPI
DVD,dvd
EMF,EMF
Eta,Eta
eta,eta
ETA,ETA
Éwé,Éwé
EXP,EXP
Fax,Fax
FAX,FAX
Fax,Fax
FDF,FDF
Feb,Feb
ffi,ffi
ffl,ffl
Fon,Fon
FTP,FTP
für,for
GDA,DDB
Get,Get
GGT,GCD
GIF,GIF
Hex,Hex
HSB,HSB
Chi,Chi
chi,chi
CHI,CHI
ID:,ID:
IKV,IRR
Jan,Jan
JIS,JIS
JPG,JPG
KGV,LCM
Kot,poo
LIA,SLN
LOG,LOG
MAX,MAX
max,max
Max,Max
Mär,Mar
MIN,MIN
min,min
Min,Min
Mro,Mro
NBW,NPV
NEG,NEG
Neu,New
Ohr,ear
OLE,OLE
PDF,PDF
Phi,Phi
phi,phi
PHI,PHI
phi,phi
PHI,PHI
PLZ,ZIP
PNG,PNG
Psi,Psi
psi,psi
PSI,PSI
Put,Put
R^2,R^2
RGB,RGB
Rho,Rho
rho,rho
RHO,RHO
RMZ,PMT
Rot,Red
rot,red
Rot,Red
rot,red
Rot,Red
RTF,RTF
S 1,T 1
S 2,T 2
SEC,SEC
Sek,sec
SIN,SIN
sin,sin
SQL,SQL
SQL,Sql
SQL,SQL
SQL,Sql
SQL,SQL
SSH,SSH
SVG,SVG
Tag,Day
TAG,DAY
Tag,Day
TAN,TAN
Tau,Tau
tau,tau
TAU,TAU
top,top
UFO,ufo
Um:,By:
um:,by:
UND,AND
und,and
UND,AND
und,and
UND,AND
und,and
UND,AND
und,and
UND,AND
und,and
URI,URI
URL,URL
Vai,Vai
Var,Var
VDB,VDB
Vol,vol
Web,Web
WMF,WMF
Won,won
XML,XML
Yen,yen
ZGZ,RRI
zu:,to:
&Ja,&Yes
#NV,#N/A
Art,Type
Art,Type
Bad,bath
Fuß,Foot
Gut,Good
mit,with
Nr.,Num.
Ort,City
Ort,City
Ort,City
Ort,City
Tür,door
Typ,Type
TYP,TYPE
Typ,Type
Von,From
wie,like
