# Glossary in tab-separated format -*- coding: utf-8 -*-
contributors	colaboradores
Feedback	Comentários e sugestões
Contents	Sumário
configuring	configurar
Customizing	Personalizar
customizing	personalizar
Styles deck	Painel de estilos
Sidebar	Barra lateral
Closing	Fechar
Displaying	Exibir
displaying	exibir
closing	fechar
locking	bloquear
unlocking	desbloquear
Menu bar	Barra de menus
You can	É possível
You can also	É possível também
You can also	Também, é possível
displays	exibe
You can also	É também possível
Notebookbar	Barra de abas
Table	Tabela
table	table
you can	é possível
Find & Replace	Localizar e substituir
Using	Usar
using	usar
