2015/3/4 下午 8:54
方案數據統計

          	  分節數	    字數	字元數（不含空白）	字元數（含空白）	
總數：       	12728	119626	   598817	  706010	
Remaining:	12358	117256	   584656	  689947	
唯一分節：     	 9094	108286	   537314	  637002	
剩餘唯一分節：   	 9050	107945	   535409	  634809	


個別檔案數據統計：

檔案名稱                                                 	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	  總字數	 剩餘字數	Unique Words	Unique Remaining Words	總字元數（不含空白）	剩餘字元數（不含空白）	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	總字元數（含空白）	剩餘字元數（含空白）	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
GettingStarted42/GS4200-Preface.odt                  	           273	               205	            230	                      186	 1921	 1515	        1826	                  1485	     10281	       8010	                              9822	                                        7917	    11894	      9294	                               11383	                                          9190	
GettingStarted42/GS4201-IntroducingLibreOffice.odt   	           642	               622	            484	                      484	 6381	 6246	        5925	                  5925	     32380	      31528	                             29719	                                       29719	    38150	     37192	                               35201	                                         35201	
GettingStarted42/GS4202-SettingUpLibreOffice.odt     	           774	               759	            628	                      628	 7780	 7673	        7356	                  7356	     40428	      39785	                             37956	                                       37956	    47422	     46694	                               44684	                                         44684	
GettingStarted42/GS4203-StylesAndTemplates.odt       	           673	               658	            463	                      463	 6317	 6210	        5717	                  5717	     31171	      30528	                             27975	                                       27975	    36827	     36099	                               33253	                                         33253	
GettingStarted42/GS4204-GettingStartedWithWriter.odt 	          1051	              1035	            796	                      796	10849	10724	       10166	                 10166	     53510	      52742	                             49930	                                       49930	    63385	     62517	                               59388	                                         59388	
GettingStarted42/GS4205-GettingStartedWithCalc.odt   	          1322	              1307	            987	                      987	13506	13420	       12591	                 12591	     63732	      63194	                             59030	                                       59030	    76050	     75443	                               70769	                                         70769	
GettingStarted42/GS4206-GettingStartedWithImpress.odt	          1014	               998	            742	                      742	11476	11351	       10694	                 10694	     54573	      53805	                             50567	                                       50567	    65149	     64281	                               60642	                                         60642	
GettingStarted42/GS4206-ZacinameImpress.odt          	          1018	              1018	            785	                      785	 9792	 9792	        9279	                  9279	     57984	      57984	                             54982	                                       54982	    66894	     66894	                               63610	                                         63610	
GettingStarted42/GS4208-GettingStartedwithBase.odt   	          1358	              1342	           1044	                     1044	12868	12743	       12035	                 12035	     59520	      58752	                             55612	                                       55612	    70987	     70119	                               66570	                                         66570	
GettingStarted42/GS4209-GettingStartedWithMath.odt   	           814	               799	            581	                      581	 6549	 6463	        6012	                  6012	     32114	      31576	                             29176	                                       29176	    37972	     37365	                               34734	                                         34734	
GettingStarted42/GS4210-PrintingExportingEmailing.odt	           648	               633	            427	                      427	 5519	 5412	        4800	                  4800	     27401	      26758	                             23789	                                       23789	    32283	     31555	                               28188	                                         28188	
GettingStarted42/GS4211-GraphicsGalleryFontwork.odt  	           670	               654	            437	                      437	 5843	 5718	        5236	                  5236	     28520	      27752	                             25260	                                       25260	    33701	     32833	                               30082	                                         30082	
GettingStarted42/GS4212-CreatingWebPages.odt         	           343	               328	            225	                      225	 3861	 3775	        3451	                  3451	     18672	      18134	                             16447	                                       16447	    22234	     21627	                               19723	                                         19723	
GettingStarted42/GS4213-GettingStartedWithMacros.odt 	           772	               757	            558	                      558	 6776	 6690	        6157	                  6157	     35572	      35034	                             31446	                                       31446	    41458	     40851	                               36945	                                         36945	
GettingStarted42/GS4214-CustomizingLibO.odt          	           374	               359	            231	                      231	 3581	 3495	        3093	                  3093	     17640	      17102	                             14810	                                       14810	    20844	     20237	                               17679	                                         17679	
GettingStarted42/GS4215-KeyboardShortcuts.odt        	           361	               346	            230	                      230	 2087	 2001	        1713	                  1713	     10496	       9958	                              8364	                                        8364	    12146	     11539	                                9793	                                          9793	
GettingStarted42/GS4216-OpenSourceStandardsDoc.odt   	           348	               333	            246	                      246	 2599	 2513	        2235	                  2235	     14542	      14004	                             12429	                                       12429	    16720	     16113	                               14358	                                         14358	
GS4200-Preface.odt                                   	           273	               205	              0	                        0	 1921	 1515	           0	                     0	     10281	       8010	                                 0	                                           0	    11894	      9294	                                   0	                                             0	
